index,appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,jun_19_av,jul_19_av,jun_jul_avuplift,jun_jul_avupliftpc
0,10,Counter-Strike,2000-11-01,1,Valve,Valve,0,0,124534,3339,0.9738881546534452,7.19,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65188.0,9165.61,9317.42,151.8099999999995,0.016563000171292416
1,20,Team Fortress Classic,1999-04-01,1,Valve,Valve,0,0,3318,633,0.8397873955960516,3.99,90.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,191.0,64.79,68.37,3.5799999999999983,0.05525544065442195
2,30,Day of Defeat,2003-05-01,1,Valve,Valve,0,0,3416,398,0.8956476140534871,3.99,90.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,654.0,99.19,99.35,0.1599999999999966,0.0016130658332492852
3,40,Deathmatch Classic,2001-06-01,1,Valve,Valve,0,0,1273,267,0.8266233766233766,3.99,90.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,627.0,6.47,8.55,2.080000000000001,0.32148377125193217
4,50,Half-Life: Opposing Force,1999-11-01,1,Gearbox Software,Valve,0,0,5250,288,0.9479956663055255,3.99,0.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,237.0,73.91,112.87,38.96000000000001,0.5271275876065487
5,60,Ricochet,2000-11-01,1,Valve,Valve,0,0,2758,684,0.8012783265543288,3.99,90.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87.0,7.4,10.63,3.2300000000000004,0.4364864864864865
6,70,Half-Life,1998-11-08,1,Valve,Valve,0,0,27755,1100,0.9618783573037601,7.19,90.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2132.0,438.51,634.86,196.35000000000002,0.4477662995142643
7,80,Counter-Strike: Condition Zero,2004-03-01,1,Valve,Valve,0,0,12120,1439,0.8938712294416993,7.19,90.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3466.0,421.85,447.63,25.779999999999973,0.06111176958634579
8,130,Half-Life: Blue Shift,2001-06-01,1,Gearbox Software,Valve,0,0,3822,420,0.900990099009901,3.99,90.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,150.0,47.76,66.34,18.580000000000005,0.3890284757118929
9,220,Half-Life 2,2004-11-16,1,Valve,Valve,0,1,67902,2419,0.9656006029493324,7.19,90.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6422.0,674.27,999.53,325.26,0.48238836074569535
