index,appid,name,release_date,english,developer,publisher,required_age,achievements,total_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,may_19_av,may_19_peak,jun_19_av,jun_19_peak,jul_19_av,may_jun_avuplift,may_jun_avupliftpc,jun_jul_avuplift,jun_jul_avupliftpc
0,10,Counter-Strike,2000-11-01,1,Valve,Valve,0,0,127873,0.9738881546534452,7.19,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65188.0,9246.58,16503.0,9165.61,14925.0,9317.42,-80.96999999999935,-0.0087567511447475,151.8099999999995,0.016563000171292416
1,20,Team Fortress Classic,1999-04-01,1,Valve,Valve,0,0,3951,0.8397873955960516,3.99,90.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,191.0,58.06,142.0,64.79,130.0,68.37,6.730000000000004,0.11591457113331043,3.5799999999999983,0.05525544065442195
2,30,Day of Defeat,2003-05-01,1,Valve,Valve,0,0,3814,0.8956476140534871,3.99,90.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,654.0,92.56,193.0,99.19,188.0,99.35,6.6299999999999955,0.07162921348314602,0.1599999999999966,0.0016130658332492852
3,40,Deathmatch Classic,2001-06-01,1,Valve,Valve,0,0,1540,0.8266233766233766,3.99,90.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,627.0,5.88,48.0,6.47,20.0,8.55,0.5899999999999999,0.10034013605442174,2.080000000000001,0.32148377125193217
4,50,Half-Life: Opposing Force,1999-11-01,1,Gearbox Software,Valve,0,0,5538,0.9479956663055255,3.99,0.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,237.0,52.45,129.0,73.91,217.0,112.87,21.459999999999994,0.4091515729265966,38.96000000000001,0.5271275876065487
5,60,Ricochet,2000-11-01,1,Valve,Valve,0,0,3442,0.8012783265543288,3.99,90.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87.0,6.1,87.0,7.4,27.0,10.63,1.3000000000000007,0.21311475409836078,3.2300000000000004,0.4364864864864865
6,70,Half-Life,1998-11-08,1,Valve,Valve,0,0,28855,0.9618783573037601,7.19,90.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2132.0,297.48,535.0,438.51,1357.0,634.86,141.02999999999997,0.4740822912464702,196.35000000000002,0.4477662995142643
7,80,Counter-Strike: Condition Zero,2004-03-01,1,Valve,Valve,0,0,13559,0.8938712294416993,7.19,90.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3466.0,425.78,776.0,421.85,787.0,447.63,-3.92999999999995,-0.009230118840715746,25.779999999999973,0.06111176958634579
8,130,Half-Life: Blue Shift,2001-06-01,1,Gearbox Software,Valve,0,0,4242,0.900990099009901,3.99,90.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,150.0,26.16,85.0,47.76,132.0,66.34,21.599999999999998,0.8256880733944953,18.580000000000005,0.3890284757118929
9,220,Half-Life 2,2004-11-16,1,Valve,Valve,0,1,70321,0.9656006029493324,7.19,90.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6422.0,501.36,969.0,674.27,1950.0,999.53,172.90999999999997,0.3448819211744055,325.26,0.48238836074569535
