appid,name,discount
1630,Disciples II: Rise of the Elves ,80%
2100,Dark Messiah of Might & Magic,0
2330,QUAKE II Mission Pack: The Reckoning,33%
2360,HeXen: Beyond Heretic,nan
2370,HeXen: Deathkings of the Dark Citadel,50%
2390,Heretic: Shadow of the Serpent Riders,50%
2600,Vampire: The Masquerade - Bloodlines,25%
2800,X2: The Threat,25%
2840,X: Beyond the Frontier,25%
3260,Safecracker: The Ultimate Puzzle Adventure,80%
3500,Mystery P.I.™ - The Lottery Ticket,75%
3510,Amazing Adventures The Lost Tomb™,75%
3520,Mystery P.I.™ - The Vegas Heist,75%
3530,Amazing Adventures Around the World,75%
3570,Mystery P.I.™ - The New York Fortune,75%
3910,Sid Meier's Civilization® III Complete,nan
4230,RACE - The WTCC Game,0
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",0
6010,Indiana Jones® and the Fate of Atlantis™,65%
6080,Thrillville®: Off the Rails™,65%
6250,Making History: The Calm & the Storm,0
6300,Dreamfall: The Longest Journey,50%
6420,Nexus - The Jupiter Incident,80%
6810,Commandos: Beyond the Call of Duty,50%
6910,Deus Ex: Game of the Year Edition,0
7200,Trackmania United Forever Star Edition,nan
7220,"Runaway, The Dream of The Turtle",80%
7650,X-COM: Terror From the Deep,75%
8800,Civilization IV: Beyond the Sword,0
8890,Freedom Force vs. the Third Reich,75%
8970,Axel & Pixel,nan
9180,Commander Keen,nan
10120,Aces of the Galaxy™,75%
10250,PT Boats: Knights of the Sea,80%
11140,Sherlock Holmes: The Awakened - Remastered Edition,75%
11150,Sherlock Holmes: The Silver Earring,0
11190,Sherlock Holmes versus Jack the Ripper,75%
11560,Maelstrom: The Battle for Earth Begins,88%
12150,Max Payne 2: The Fall of Max Payne,0
12320,Sacred Gold,nan
12390,Exodus from the Earth ,80%
12450,Ankh 3: Battle of the Gods,90%
12500,PuzzleQuest: Challenge of the Warlords,0
12770,Rise of the Argonauts,80%
13200,Unreal 2: The Awakening,0
13210,Unreal Tournament 3 Black,nan
13240,Unreal Tournament: Game of the Year Edition,0
13530,Prince of Persia: The Two Thrones™,66%
13600,Prince of Persia®: The Sands of Time,66%
15170,Heroes of Might & Magic V,nan
15200,Silent Hunter®: Wolves of the Pacific,66%
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,66%
15370,Heroes of Might & Magic V: Tribes of the East,nan
15500,The Wonderful End of the World,0
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0
16020,Samantha Swift and the Hidden Roses of Athena,nan
16040,Luxor: Quest for the Afterlife ,66%
16060,Samantha Swift and the Golden Touch,66%
16110,Virtual Villagers: The Lost Children,0
16180,Virtual Villagers - The Secret City,0
17100,Children of the Nile: Enhanced Edition,60%
17120,Children of the Nile: Alexandria,60%
18000,"Precipice of Darkness, Episode One",nan
18020,"Precipice of Darkness, Episode Two",nan
18500,Defense Grid: The Awakening,0
19830,Tom Clancy's Rainbow Six® 3 Gold,nan
21000,LEGO® Batman™: The Videogame,75%
21010,Watchmen: The End is Nigh,0
21030,Watchmen: The End is Nigh Part 2,0
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,50%
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,50%
22370,Fallout 3: Game of the Year Edition,50%
22450,Hunted: The Demon’s Forge™,50%
24240,PAYDAY™ The Heist,50%
24400,King Arthur - The Role-playing Wargame,75%
24740,Burnout Paradise: The Ultimate Box,75%
24790,Command & Conquer 3: Tiberium Wars,nan
24810,Command & Conquer 3: Kane's Wrath,nan
25900,King's Bounty: The Legend,75%
25910,Supreme Ruler 2020 Gold,nan
25990,Majesty Gold HD,nan
27600,Mevo and The Grooveriders,0
29120,Yumsters 2: Around the World,0
31820,Nancy Drew®: The Haunted Carousel,40%
31860,Nancy Drew®: Legend of the Crystal Skull,40%
31880,Nancy Drew®: Secret of the Old Clock,40%
31890,Nancy Drew®: Secret of the Scarlet Hand,40%
31900,Nancy Drew®: The Creature of Kapu Cave,40%
31910,Nancy Drew®: The Haunting of Castle Malloy,40%
31920,Nancy Drew®: The Phantom of Venice,40%
31930,Nancy Drew®: The White Wolf of Icicle Creek,40%
31980,Nancy Drew®: Ransom of the Seven Ships,40%
32140,Midnight Mysteries,nan
32310,Indiana Jones® and the Last Crusade™,65%
32330,LEGO® Indiana Jones™: The Original Adventures,75%
32370,STAR WARS™ - Knights of the Old Republic™,65%
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™,65%
32420,STAR WARS™: The Clone Wars - Republic Heroes™,65%
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,nan
32440,LEGO® Star Wars™ - The Complete Saga,65%
32450,LEGO® Indiana Jones™ 2: The Adventure Continues,75%
32500,STAR WARS™: The Force Unleashed™ II,65%
32510,LEGO® Star Wars™ III - The Clone Wars™,65%
32760,Tachyon: The Fringe,75%
33320,Prince of Persia: The Forgotten Sands™,66%
33390,Zeit²,nan
33600,Broken Sword 2 - the Smoking Mirror: Remastered,0
33610,Broken Sword 3 - the Sleeping Dragon,75%
33770,Drakensang: The River of Time,75%
34800,Chronicles of Mystery: The Scorpio Ritual,80%
34900,Bad Rats: the Rats' Revenge,51%
35130,Lara Croft and the Guardian of Light,0
35140,Batman: Arkham Asylum Game of the Year Edition,75%
36130,Tradewinds Caravans + Odyssey Pack,nan
37030,UFO: Extraterrestrials Gold,nan
37280,Wedding Dash® 2: Rings Around the World,0
37330,Nightshift Legacy: The Jaguar's Eye™,0
37380,Valerie Porter and the Scarlet Scandal™,0
37960,Jewel Quest Pack,nan
38000,Mahjong Quest Collection,nan
38090,Build-A-Lot 2: Town of the Year,0
39110,SEASON OF MYSTERY: The Cherry Blossom Murders,50%
39660,The Guild II - Pirates of the European Seas,75%
40320,Rush for Berlin Gold,nan
41000,Serious Sam HD: The First Encounter,0
41680,Death and the Fly,50%
41740,Cargo! The Quest for Gravity,70%
42120,Lead and Gold: Gangs of the Wild West,75%
42220,Nancy Drew®: The Captive Curse,40%
42230,Nancy Drew®: Trail of the Twister,40%
42810,For The Glory: A Europa Universalis Game,0
42890,Sword of the Stars: Complete Collection,0
42990,Sword of the Stars II: Enhanced Edition,75%
45100,Secret of the Magic Crystals,77%
45770,Dead Rising 2: Off the Record,70%
46290,Theatre of War,nan
46340,Theatre of War 2: Africa 1943,nan
46360,Theatre of War 2: Kursk 1943,nan
46410,Avencast: Rise of the Mage,90%
46730,Hazen: The Dark Whispers,0
46770,Making History II: The War of the World,50%
48110,Silent Hunter 5®: Battle of the Atlantic,0
49300,Commander: Conquest of the Americas,0
49320,Woody Two-Legs: Attack of the Zombie Pirates,0
49800,Flight of the Icarus,90%
50300,Spec Ops: The Line,80%
50910,Professor Fizzwizzle and the Molten Mystery,nan
51060,Drawn®: The Painted Tower,50%
55230,Saints Row: The Third,75%
57300,Amnesia: The Dark Descent,90%
57800,Doc Clock: The Toasted Sandwich of Time,0
61510,Age of Wonders II: The Wizard's Throne,75%
63610,Riven: The Sequel to MYST,50%
63960,Theatre of War 3: Korea,nan
65500,Aura: Fate of the Ages,75%
67000,The Polynomial - Space of the music,0
80200,Fate of the World,50%
90400,Blue Toad Murder Files™: The Mysteries of Little Riddle,0
92400,B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),nan
93200,Revenge of the Titans,66%
94200,Jamestown,nan
97330,Magic: The Gathering - Duels of the Planeswalkers 2013,nan
99400,Garshasp: The Monster Slayer,85%
99410,Garshasp: Temple of the Dragon,85%
100980,3DCoat 4.8,nan
105000,A New Beginning - Final Cut,nan
111010,The Clockwork Man: The Hidden World,75%
112100,Avadon: The Black Fortress,0
200080,Nancy Drew®: Shadow at the Water's Edge,40%
200260,Batman: Arkham City - Game of the Year Edition,75%
200550,Dungeons - The Dark Lord,75%
200900,Cave Story+,nan
201420,Toki Tori 2+,nan
201480,Serious Sam: The Random Encounter,80%
201810,Wolfenstein: The New Order,0
203350,King's Bounty: Warriors of the North,75%
203560,Containment: The Zombie Puzzler,0
203630,Warlock - Master of the Arcane,0
203650,Sonic the Hedgehog 4 - Episode II,75%
204030,Fable - The Lost Chapters,75%
204060,Superbrothers: Sword & Sworcery EP,nan
205230,Hell Yeah! Wrath of the Dead Rabbit,75%
205990,Warlock 2: The Exiled,75%
206250,Cladun X2 / クラシックダンジョンX2,nan
207080,Indie Game: The Movie,50%
207320,Ys: The Oath in Felghana,70%
208110,Myst V: End of Ages,nan
208400,Avernum: Escape From the Pit,70%
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,0
208630,Midnight Mysteries 3: Devil on the Mississippi,66%
209230,Sherlock Holmes and The Hound of The Baskervilles,0
209830,Lone Survivor: The Director's Cut,0
210230,Nancy Drew®: Tomb of the Lost Queen,40%
211260,They Bleed Pixels,nan
211740,Thief™ II: The Metal Age,0
212030,Kung Fu Strike - The Warrior's Rise,0
213030,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,76%
213670,South Park™: The Stick of Truth™,80%
213850,Magic 2014 — Duels of the Planeswalkers,0
217140,Rise of the Triad,0
218410,Defender's Quest: Valley of the Forgotten (DX edition),0
220420,Nancy Drew®: The Deadly Device,40%
221380,Age of Empires II HD,nan
221830,The Book of Unwritten Tales: The Critter Chronicles,75%
223100,Homefront®: The Revolution,75%
223280,Cut the Rope,0
223330,Sea Dogs: To Each His Own - Pirate Open World RPG,nan
223810,Ys I & II Chronicles+,nan
224980,Tomb Raider IV: The Last Revelation,0
225020,Tomb Raider VI: The Angel of Darkness,0
225640,Sacred 2 Gold,nan
227060,Hegemony Rome: The Rise of Caesar,67%
227080,Papo & Yo,nan
227760,March of the Eagles,80%
228760,TrackMania² Canyon,nan
228960,Skulls of the Shogun,0
230190,War for the Overworld,75%
230270,N++ (NPLUSPLUS),nan
230290,Universe Sandbox ²,nan
230820,The Night of the Rabbit,90%
231040,Beatbuddy: Tale of the Guardians,80%
232050,Eador. Masters of the Broken World,80%
232910,TrackMania² Stadium,nan
233310,Avadon 2: The Corruption,70%
233410,Tomb Raider - The Final Hours Digital Book,0
234270,Ken Follett's The Pillars of the Earth,66%
235210,STRIDER™ / ストライダー飛竜®,nan
236970,Jack Keane 2 - The Fire Within,80%
237570,Penny Arcade's On the Rain-Slick Precipice of Darkness 4,76%
237850,Dreamfall Chapters,nan
238460,BattleBlock Theater®,nan
239720,PAC-MAN™ and the Ghostly Adventures,75%
240970,Half Minute Hero: The Second Coming,nan
242110,Joe Danger 2: The Movie,0
243000,Omikron: The Nomad Soul,0
243360,TrackMania² Valley,nan
243470,Watch_Dogs™,nan
245050,SpellForce 2 - Demons of the Past,75%
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,75%
245300,Disney Epic Mickey 2:  The Power of Two,0
246580,The Typing of The Dead: Overkill,0
246680,Secrets of Rætikon,nan
246740,Huntsman: The Orphanage (Halloween Edition),0
246940,Lords of the Black Sun,85%
246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,80%
247080,Crypt of the NecroDancer,80%
247140,Soundodger+,nan
247240,Volgarr the Viking,70%
247660,Deadly Premonition: The Director's Cut,0
248270,Songs2See,nan
248390,Craft The World,75%
248510,Dominions 3: The Awakening,75%
249050,Dungeon of the Endless™,0
249680,Marlow Briggs and the Mask of Death,0
250560,Fight The Dragon,85%
250620,Among the Sleep - Enhanced Edition,75%
250660,Bunny Must Die! Chelsea and the 7 Devils,0
251110,INFRA,nan
251150,The Legend of Heroes: Trails in the Sky,50%
251290,The Legend of Heroes: Trails in the Sky SC,nan
251830,Stick it to The Man!,80%
251990,Long Live The Queen,60%
252330,Slender: The Arrival,50%
252550,Qbeh-1: The Atlas Cube,0
252630,Eldritch Reanimated,nan
253030,Race The Sun,80%
253390,Hot Tin Roof: The Cat That Wore A Fedora,0
254480,Obscure II (Obscure: The Aftermath),nan
254590,Theme Park Studio,nan
254860,Lords of the Realm III,66%
254920,Lords of the Realm,66%
255320,Edna & Harvey: The Breakout,0
255390,Max: The Curse of Brotherhood,nan
255420,Magic 2015 - Duels of the Planeswalkers,0
256370,MXGP - The Official Motocross Videogame,60%
