appid,name,discount
10,Counter-Strike,0
20,Team Fortress Classic,90%
30,Day of Defeat,90%
40,Deathmatch Classic,90%
50,Half-Life: Opposing Force,0
60,Ricochet,90%
70,Half-Life,90%
80,Counter-Strike: Condition Zero,90%
130,Half-Life: Blue Shift,90%
220,Half-Life 2,90%
240,Counter-Strike: Source,90%
300,Day of Defeat: Source,90%
320,Half-Life 2: Deathmatch,90%
380,Half-Life 2: Episode One,90%
400,Portal,90%
420,Half-Life 2: Episode Two,90%
500,Left 4 Dead,90%
550,Left 4 Dead 2,80%
620,Portal 2,90%
1002,Rag Doll Kung Fu,0
1200,Red Orchestra: Ostfront 41-45,50%
1250,Killing Floor,0
1300,SiN Episodes: Emergence,66%
1500,Darwinia,0
1510,Uplink,0
1520,DEFCON,0
1530,Multiwinia,0
1600,Dangerous Waters,80%
1610,Space Empires IV Deluxe,80%
1630,Disciples II: Rise of the Elves ,80%
1640,Disciples II: Gallean's Return,85%
1670,Iron Warriors: T - 72 Tank Command ,80%
1690,Space Empires V,80%
1700,Arx Fatalis,50%
1900,Earth 2160,80%
1930,Two Worlds Epic Edition,75%
2100,Dark Messiah of Might & Magic,0
2200,Quake III Arena,0
2210,Quake IV,50%
2270,Wolfenstein 3D,50%
2280,Ultimate Doom,50%
2290,Final DOOM,50%
2300,DOOM II,50%
2310,QUAKE,50%
2320,QUAKE II,50%
2330,QUAKE II Mission Pack: The Reckoning,33%
2340,QUAKE II Mission Pack: Ground Zero,33%
2350,QUAKE III: Team Arena,0
2360,HeXen: Beyond Heretic,
2370,HeXen: Deathkings of the Dark Citadel,50%
2390,Heretic: Shadow of the Serpent Riders,50%
2450,Bloody Good Time,75%
2500,Shadowgrounds,85%
2590,Alpha Prime,80%
2600,Vampire: The Masquerade - Bloodlines,25%
2610,GUN™,75%
2620,Call of Duty®,50%
2630,Call of Duty® 2,50%
2640,Call of Duty: United Offensive,0
2710,Act of War: Direct Action,60%
2720,ThreadSpace: Hyperbol,0
2780,ARMA: Combat Operations,80%
2800,X2: The Threat,25%
2810,X3: Reunion,25%
2820,X3: Terran Conflict,40%
2840,X: Beyond the Frontier,25%
2850,X: Tension,25%
2870,X Rebirth,25%
2900,688(I) Hunter/Killer,90%
2910,Fleet Command,80%
2920,Sub Command,80%
2990,FlatOut 2™,85%
3010,Xpand Rally,80%
3020,Call of Juarez™,75%
3050,Xpand Rally Xtreme,80%
3130,Men of War: Red Tide,75%
3170,King's Bounty: Armored Princess,75%
3230,Genesis Rising,75%
3260,Safecracker: The Ultimate Puzzle Adventure,80%
3270,Painkiller Overdose,75%
3330,Zuma Deluxe,75%
3410,Heavy Weapon Deluxe,75%
3480,Peggle Deluxe,75%
3490,Venice Deluxe,75%
3500,Mystery P.I.™ - The Lottery Ticket,75%
3510,Amazing Adventures The Lost Tomb™,75%
3520,Mystery P.I.™ - The Vegas Heist,75%
3530,Amazing Adventures Around the World,75%
3540,Peggle™ Nights,75%
3560,Bejeweled Twist,75%
3570,Mystery P.I.™ - The New York Fortune,75%
3580,The Wizard's Pen™,75%
3590,Plants vs. Zombies GOTY Edition,0
3600,Escape Rosecliff Island,75%
3610,Mystery P.I. - Lost in Los Angeles,75%
3620,Zuma's Revenge!,75%
3700,Sniper Elite,75%
3710,Judge Dredd: Dredd vs. Death,75%
3720,Evil Genius,75%
3730,Aliens versus Predator Classic 2000,75%
